Altersgruppe,HFmax (220−Alter),HFmax (Tanaka)
15–19 Jahre,201–205,197–199
20–24 Jahre,196–200,191–194
25–29 Jahre,191–195,187–190
30–34 Jahre,186–190,184–187
35–39 Jahre,181–185,180–183
40–44 Jahre,176–180,177–180
45–49 Jahre,171–175,173–176
50–54 Jahre,166–170,170–173
55–59 Jahre,161–165,167–170
60–64 Jahre,156–160,163–166
65–69 Jahre,151–155,160–163
70–74 Jahre,146–150,157–160
75+ Jahre,≤145,≤156
